run,auc_sl,acc_sl,ppv_sl,npv_sl,sens_sl,spec_sl,mean_auc_sl
1,0.818181818,0.657142857,0.666666667,0.818181818,0.888888889,0.529411765,0.731844291
2,0.735507246,NA,0.52173913,0.833333333,0.857142857,0.476190476,NA
3,0.799145299,NA,0.769230769,0.444444444,0.8,0.4,NA
4,0.78030303,NA,0.833333333,0.727272727,0.869565217,0.666666667,NA
5,0.747863248,NA,0.576923077,0.666666667,0.833333333,0.352941176,NA
6,0.583333333,NA,0.555555556,0.375,0.75,0.2,NA
7,0.699300699,NA,0.636363636,0.615384615,0.736842105,0.5,NA
8,0.696,NA,0.64,0.6,0.8,0.4,NA
9,0.81,NA,0.8,0.533333333,0.695652174,0.666666667,NA
10,0.772108844,NA,0.857142857,0.428571429,0.692307692,0.666666667,NA
11,0.760683761,NA,0.730769231,0.555555556,0.826086957,0.416666667,NA
12,0.74537037,NA,0.592592593,0.75,0.888888889,0.352941176,NA
13,0.751748252,NA,0.727272727,0.769230769,0.842105263,0.625,NA
14,0.715909091,NA,0.708333333,0.545454545,0.772727273,0.461538462,NA
15,0.608843537,NA,0.714285714,0.357142857,0.625,0.454545455,NA
16,0.606060606,NA,0.541666667,0.545454545,0.722222222,0.352941176,NA
17,0.744755245,NA,0.727272727,0.538461538,0.727272727,0.538461538,NA
18,0.625,NA,0.458333333,0.727272727,0.785714286,0.380952381,NA
19,0.757246377,NA,0.739130435,0.75,0.85,0.6,NA
20,0.660839161,NA,0.545454545,0.615384615,0.705882353,0.444444444,NA
21,0.662878788,NA,0.708333333,0.363636364,0.708333333,0.363636364,NA
22,0.87244898,NA,0.821428571,0.571428571,0.884615385,0.444444444,NA
23,0.722222222,NA,0.5,0.888888889,0.928571429,0.380952381,NA
24,0.684,NA,0.68,0.7,0.85,0.466666667,NA
25,0.683760684,NA,0.730769231,0.444444444,0.791666667,0.363636364,NA
26,0.703947368,NA,0.842105263,0.25,0.571428571,0.571428571,NA
27,0.775362319,NA,0.869565217,0.5,0.769230769,0.666666667,NA
28,0.792,NA,0.72,0.5,0.782608696,0.416666667,NA
29,0.625,NA,0.708333333,0.454545455,0.739130435,0.416666667,NA
30,0.751748252,NA,0.681818182,0.769230769,0.833333333,0.588235294,NA
31,0.643939394,NA,0.5,0.727272727,0.8,0.4,NA
32,0.703333333,NA,0.65,0.466666667,0.619047619,0.5,NA
33,0.717687075,NA,0.714285714,0.642857143,0.75,0.6,NA
34,0.828703704,NA,0.777777778,0.5,0.84,0.4,NA
35,0.632575758,NA,0.583333333,0.818181818,0.875,0.473684211,NA
